<br><br>,,Population 1990 (1000 ha),Population 1995 (1000 ha)
Africa, Eastern,191931222,217254480
Africa, Middle,70656994,84017216
Africa, Northern,140239432,155100905
Africa, Southern,39043240,43213036
Africa, Western,170615525,194411330
America, Central,111021373,122817570
America, North,277672082,292337632
America, South,289587553,314584364
Antarctica,-99999,-99999,
Asia, Eastern,1335955974,1406999260
Asia, South-central,1233566737,1359448675
Asia, South-eastern,429237457,467668472
Asia, Western,151608331,169681344
Australia and New Zealand,19583371,20894644,
Caribbean,32482595,34550515,
Europe, Eastern,311383780,310669226
Europe, Northern,88803973,89915578
Europe, Southern,139505453,139853103
Europe, Western,175280569,180161766
Melanesia,5025830,5609832,
Micronesia,246501,284203,
Polynesia,387137,414411,
